arxiv_id,updated,published,title,summary,authors,link_abstract,link_pdf
2411.10479,2024-11-13T03:38:56Z,2024-11-13T03:38:56Z,Challenges in the Differential Classification of Individual Diagnoses  from Co-Occurring Autism and ADHD Using Survey Data,"Autism and Attention-Deficit Hyperactivity Disorder (ADHD) are two of the most commonly observed neurodevelopmental conditions in childhood. Providing a specific computational assessment to distinguish between the two can prove difficult and time intensive. Given the high prevalence of their co-occurrence, there is a need for scalable and accessible methods for distinguishing the co-occurrence of autism and ADHD from individual diagnoses. The first step is to identify a core set of features that can serve as the basis for behavioral feature extraction. We trained machine learning models on data from the National Survey of Children's Health to identify behaviors to target as features in automated clinical decision support systems. A model trained on the binary task of distinguishing either developmental delay (autism or ADHD) vs. neither achieved sensitivity >92% and specificity >94%, while a model trained on the 4-way classification task of autism vs. ADHD vs. both vs. none demonstrated >65% sensitivity and >66% specificity. While the performance of the binary model was respectable, the relatively low performance in the differential classification of autism and ADHD highlights the challenges that persist in achieving specificity within clinical decision support tools for developmental delays. Nevertheless, this study demonstrates the potential of applying behavioral questionnaires not traditionally used for clinical purposes towards supporting digital screening assessments for pediatric developmental delays.",Aditi Jaiswal; Dennis P. Wall; Peter Washington,http://arxiv.org/abs/2411.10479v1,http://arxiv.org/pdf/2411.10479v1
2401.15685,2024-01-28T16:02:27Z,2024-01-28T16:02:27Z,Assessment of Autism and ADHD: A Comparative Analysis of Drawing  Velocity Profiles and the NEPSY Test,"The increasing prevalence of Autism Spectrum Disorder and Attention-Deficit/ Hyperactivity Disorder among students highlights the need to improve evaluation and diagnostic techniques, as well as effective tools to mitigate the negative consequences associated with these disorders. With the widespread use of touchscreen mobile devices, there is an opportunity to gather comprehensive data beyond visual cues. These devices enable the collection and visualization of information on velocity profiles and the time taken to complete drawing and handwriting tasks. These data can be leveraged to develop new neuropsychological tests based on the velocity profile that assists in distinguishing between challenging cases of ASD and ADHD that are difficult to differentiate in clinical practice. In this paper, we present a proof of concept that compares and combines the results obtained from standardized tasks in the NEPSY-II assessment with a proposed observational scale based on the visual analysis of the velocity profile collected using digital tablets.",S. Fortea-Sevilla; A. Garcia-Sosa.; P. Morales-Almeida; C. Carmona-Duarte,http://arxiv.org/abs/2401.15685v1,http://arxiv.org/pdf/2401.15685v1
2312.05029,2023-12-08T13:16:29Z,2023-12-08T13:16:29Z,"Challenges, Strengths, and Strategies of Software Engineers with ADHD: A  Case Study","Neurodiversity describes brain function variation in individuals, including Attention deficit hyperactivity disorder (ADHD) and Autism spectrum disorder. Neurodivergent individuals both experience challenges and exhibit strengths in the workplace. As an important disorder included under the neurodiversity term, an estimated 5.0% to 7.1% of the world population have ADHD. However, existing studies involving ADHD in the workplace are of general nature and do not focus on software engineering (SE) activities. To address this gap, we performed an exploratory qualitative case study on the experiences of people with ADHD working in SE. We find that people with ADHD struggle with several important SE-related activities, e.g., task organisation and estimation, attention to work, relation to others. Furthermore, they experience issues with physical and mental health. In terms of strengths, they exhibit, e.g., increased creative skills, perform well when solving puzzles, and have the capability to think ahead. Our findings align well with existing clinical ADHD research, and have important implications to SE practice.",Grischa Liebel; Noah Langlois; Kiev Gama,http://arxiv.org/abs/2312.05029v1,http://arxiv.org/pdf/2312.05029v1
